date,open,high,low,close,volume
2020-04-02,0.013039,0.013077,0.013035,0.013035,1474754.45
2020-04-03,0.013032,0.013053,0.01303,0.013045,197611.22
2020-04-06,0.013041,0.013044,0.01303,0.013038,516291.89
2020-04-07,0.013036,0.013042,0.013026,0.013039,252619.2
2020-04-08,0.013032,0.013066,0.013026,0.013057,406331.73
2020-04-09,0.013055,0.013074,0.013052,0.013061,530748.66
2020-04-13,0.013063,0.013066,0.013039,0.013041,441571.48
2020-04-14,0.013043,0.013045,0.012994,0.012996,3875971.56
2020-04-15,0.012997,0.013014,0.012997,0.013007,794597.87
2020-04-16,0.013009,0.013031,0.013009,0.013011,2091833
2020-04-17,0.013011,0.013012,0.012999,0.013003,55938.07
2020-04-20,0.013001,0.013021,0.012996,0.01302,209839.15
2020-04-21,0.013015,0.013015,0.012991,0.012994,493956.47
2020-04-22,0.012995,0.01302,0.012995,0.013009,331044.74
2020-04-23,0.013009,0.013009,0.012996,0.012999,234738.23
2020-04-24,0.012997,0.013009,0.012983,0.012985,668225.68
2020-04-27,0.012985,0.013001,0.012967,0.012981,970822.88
2020-04-28,0.012981,0.013023,0.012981,0.013023,325537.81
2020-04-29,0.013025,0.013125,0.013025,0.013069,5486507.05
2020-04-30,0.013069,0.013079,0.013059,0.013071,799033.4
2020-05-01,0.013071,0.013089,0.013056,0.013087,1192906.07
2020-05-04,0.013087,0.013095,0.013063,0.013071,987878.22
2020-05-05,0.013067,0.013067,0.013043,0.01305,646099.56
2020-05-06,0.013042,0.013042,0.013025,0.01303,486574.56
2020-05-07,0.013025,0.01305,0.013024,0.013045,83241.31
2020-05-08,0.013049,0.013082,0.013048,0.013075,667823.33
2020-05-11,0.013071,0.013078,0.013052,0.013054,269904.69
2020-05-12,0.013047,0.013062,0.013039,0.013041,662294.23
2020-05-13,0.013041,0.01305,0.013027,0.01305,683542.57
2020-05-14,0.013045,0.013069,0.013038,0.013069,538367.4
2020-05-15,0.013067,0.013079,0.013061,0.013064,1143054.19
2020-05-18,0.013058,0.01308,0.013055,0.013076,313572.37
2020-05-19,0.013071,0.013071,0.01305,0.013055,530377.94
2020-05-20,0.013049,0.013052,0.013035,0.013035,661635.53
2020-05-21,0.01304,0.013058,0.013016,0.013056,1096344.94
2020-05-22,0.013057,0.013058,0.013042,0.013043,463528.58
2020-05-26,0.013038,0.013052,0.013021,0.013052,348788.52
2020-05-27,0.013055,0.013055,0.013031,0.013038,396803.85
2020-05-28,0.013034,0.013056,0.013012,0.013056,652781.35
